ticket_id,customer_id,route_id,open_date,category,description,sentiment,status,resolution_days,csat_score
TKT000049,CUST0181,R002,2024-11-02,Customer Service,Le service clientèle en ligne est inexistant.,negative,Resolved,9,5
TKT000050,CUST0120,R009,2024-11-25,Flight Delay,Missed connecting flight due to Air CI delay. Need compensation.,negative,Resolved,11,2
TKT000051,CUST0189,R002,2024-12-19,Refund,Vol annulé par la compagnie mais pas de remboursement proposé.,negative,Open,,
TKT000052,CUST0244,R006,2024-11-11,Baggage,Bagage cabine refusé à l'embarquement sans justification.,negative,Resolved,5,5
TKT000053,CUST0279,R012,2025-01-29,Flight Delay,Mon vol a été retardé de 4 heures. Aucun repas fourni.,negative,Resolved,7,3
TKT000054,CUST0103,R009,2024-11-28,Booking Issue,Application mobile bloque à l'étape de paiement.,negative,Resolved,1,4
TKT000055,CUST0082,R004,2024-11-13,Baggage,Frais d'excédent bagage facturés deux fois sur ma carte.,negative,Resolved,6,4
TKT000056,CUST0228,R009,2024-11-30,Flight Delay,Mon vol a été retardé de 4 heures. Aucun repas fourni.,negative,Resolved,5,3
TKT000057,CUST0156,R012,2024-11-27,Flight Delay,3-hour tarmac delay with no air conditioning.,negative,Open,,
TKT000058,CUST0224,R010,2025-01-24,Flight Delay,Aucune information donnée pendant l'attente prolongée en salle d'embarquement.,negative,Resolved,3,2
TKT000059,CUST0273,R009,2024-10-17,Flight Delay,Missed connecting flight due to Air CI delay. Need compensation.,negative,Resolved,6,5
TKT000060,CUST0058,R007,2024-12-31,Flight Delay,Mon vol a été retardé de 4 heures. Aucun repas fourni.,negative,Resolved,7,2
TKT000061,CUST0081,R010,2024-10-27,Baggage,Baggage damaged on arrival. Wheel broken and zipper torn.,negative,Resolved,13,4
TKT000062,CUST0299,R005,2024-11-12,Onboard Experience,Choice of vegetarian meals very limited compared to competitors.,negative,Resolved,13,5
TKT000063,CUST0203,R001,2024-11-08,Baggage,Mes bagages n'ont pas été livrés à l'arrivée.,negative,Resolved,2,1
TKT000064,CUST0119,R005,2024-12-11,Onboard Experience,"Écran d'écran cassé, pas de divertissement disponible.",negative,Resolved,11,1
TKT000065,CUST0086,R001,2024-10-17,Onboard Experience,"Écran d'écran cassé, pas de divertissement disponible.",negative,Resolved,9,4
TKT000066,CUST0050,R009,2025-01-23,Onboard Experience,Seat recline broken. Crew ignored my request.,negative,Open,,
TKT000067,CUST0016,R005,2024-11-30,Booking Issue,Impossible de modifier ma réservation en ligne.,negative,Open,,
TKT000068,CUST0080,R009,2024-10-13,Onboard Experience,Choice of vegetarian meals very limited compared to competitors.,neutral,Open,,
TKT000069,CUST0154,R011,2024-11-02,Baggage,Bagage cabine refusé à l'embarquement sans justification.,negative,Resolved,8,3
TKT000070,CUST0068,R004,2025-01-22,Flight Delay,3-hour tarmac delay with no air conditioning.,negative,Resolved,1,4
TKT000071,CUST0094,R006,2024-11-20,Onboard Experience,Choice of vegetarian meals very limited compared to competitors.,neutral,Resolved,9,3
TKT000072,CUST0060,R002,2024-11-14,Refund,Requested refund 30 days ago. No update from the airline.,negative,Resolved,6,3
TKT000073,CUST0260,R001,2024-11-12,Refund,Voucher reçu au lieu du remboursement promis.,negative,Resolved,5,4
TKT000074,CUST0159,R005,2024-10-18,Baggage,Baggage damaged on arrival. Wheel broken and zipper torn.,negative,Open,,
TKT000075,CUST0165,R004,2025-01-10,Onboard Experience,Wi-Fi à bord facturé mais inopérant pendant tout le vol.,negative,Resolved,13,5
TKT000076,CUST0065,R009,2025-01-27,Onboard Experience,Wi-Fi à bord facturé mais inopérant pendant tout le vol.,neutral,Resolved,13,2
TKT000077,CUST0079,R008,2024-10-25,Refund,Requested refund 30 days ago. No update from the airline.,negative,Open,,
TKT000078,CUST0216,R010,2025-01-16,Customer Service,Le service clientèle en ligne est inexistant.,negative,Open,,
TKT000079,CUST0151,R006,2025-01-14,Refund,"Compensation EU261 demandée pour vol retardé, sans réponse.",negative,Resolved,10,4
TKT000080,CUST0102,R012,2025-01-03,Booking Issue,Upgrade not applied despite payment confirmation.,negative,Resolved,1,5
TKT000081,CUST0283,R012,2025-01-18,Onboard Experience,Air conditioning was too cold. No blankets available.,neutral,Open,,
TKT000082,CUST0236,R005,2024-10-08,Flight Delay,Missed connecting flight due to Air CI delay. Need compensation.,negative,Resolved,14,1
TKT000083,CUST0261,R006,2024-12-03,Refund,Voucher reçu au lieu du remboursement promis.,negative,Resolved,9,1
TKT000084,CUST0206,R010,2024-11-05,Flight Delay,Flight delayed with no notification sent to passengers.,negative,Resolved,11,3
TKT000085,CUST0291,R004,2024-10-30,Flight Delay,Aucune information donnée pendant l'attente prolongée en salle d'embarquement.,negative,Resolved,6,1
TKT000086,CUST0293,R006,2024-10-17,Refund,Voucher reçu au lieu du remboursement promis.,negative,Open,,
TKT000087,CUST0013,R008,2024-12-25,Booking Issue,Upgrade not applied despite payment confirmation.,negative,Resolved,3,5
TKT000088,CUST0064,R006,2025-01-14,Flight Delay,3-hour tarmac delay with no air conditioning.,negative,Resolved,10,4
TKT000089,CUST0088,R012,2024-11-12,Customer Service,Phone support kept me on hold for 45 minutes.,negative,Resolved,6,4
TKT000090,CUST0153,R006,2024-11-08,Baggage,Still waiting for delayed baggage from 3 days ago.,negative,Resolved,11,2
TKT000091,CUST0198,R004,2025-01-22,Flight Delay,Aucune information donnée pendant l'attente prolongée en salle d'embarquement.,negative,Resolved,10,5
TKT000092,CUST0013,R009,2024-11-07,Flight Delay,Missed connecting flight due to Air CI delay. Need compensation.,negative,Open,,
TKT000093,CUST0038,R004,2024-10-24,Customer Service,Phone support kept me on hold for 45 minutes.,negative,Resolved,4,5
TKT000094,CUST0270,R009,2024-12-06,Baggage,Mes bagages n'ont pas été livrés à l'arrivée.,negative,Open,,
TKT000095,CUST0231,R011,2024-10-26,Baggage,Bagage cabine refusé à l'embarquement sans justification.,negative,Resolved,9,1
TKT000096,CUST0073,R009,2024-10-22,Customer Service,Phone support kept me on hold for 45 minutes.,negative,Open,,
TKT000097,CUST0013,R009,2025-01-25,Baggage,Baggage damaged on arrival. Wheel broken and zipper torn.,negative,Open,,
TKT000098,CUST0029,R001,2024-11-21,Customer Service,Le service clientèle en ligne est inexistant.,negative,Open,,
TKT000099,CUST0177,R011,2025-01-03,Customer Service,Twitter team responded but did not resolve the issue.,negative,Resolved,1,5
TKT000100,CUST0027,R001,2025-01-13,Flight Delay,Missed connecting flight due to Air CI delay. Need compensation.,negative,Open,,
TKT000101,CUST0129,R001,2025-01-30,Refund,"Compensation EU261 demandée pour vol retardé, sans réponse.",negative,Resolved,4,1
TKT000102,CUST0161,R006,2024-11-26,Booking Issue,"Erreur lors du paiement, deux billets émis.",neutral,Resolved,13,2
TKT000103,CUST0206,R005,2025-01-18,Flight Delay,3-hour tarmac delay with no air conditioning.,negative,Resolved,2,1
TKT000104,CUST0269,R001,2025-01-18,Refund,Remboursement non reçu après annulation il y a 6 semaines.,negative,Resolved,3,1
TKT000105,CUST0259,R005,2024-11-29,Booking Issue,Upgrade not applied despite payment confirmation.,neutral,Resolved,6,1
TKT000106,CUST0101,R005,2024-11-27,Onboard Experience,Choice of vegetarian meals very limited compared to competitors.,neutral,Resolved,2,4
TKT000107,CUST0272,R011,2025-01-02,Flight Delay,Mon vol a été retardé de 4 heures. Aucun repas fourni.,negative,Resolved,4,3
TKT000108,CUST0104,R001,2024-11-24,Flight Delay,Missed connecting flight due to Air CI delay. Need compensation.,negative,Resolved,10,3
TKT000109,CUST0251,R009,2024-11-20,Customer Service,Promise de rappel non tenue après ma plainte initiale.,negative,Resolved,13,2
TKT000110,CUST0281,R005,2024-10-22,Customer Service,No response to my email sent 2 weeks ago.,negative,Resolved,12,5
TKT000111,CUST0186,R006,2025-01-12,Flight Delay,Vol retardé plusieurs fois sur ce mois. Inacceptable.,negative,Open,,
TKT000112,CUST0249,R004,2025-01-26,Customer Service,Promise de rappel non tenue après ma plainte initiale.,negative,Resolved,2,4
TKT000113,CUST0165,R006,2024-11-19,Refund,Voucher reçu au lieu du remboursement promis.,negative,Open,,
TKT000114,CUST0180,R009,2025-01-20,Customer Service,No response to my email sent 2 weeks ago.,negative,Open,,
TKT000115,CUST0149,R005,2024-10-20,Flight Delay,Vol systématiquement en retard le matin sur cette ligne.,negative,Open,,
TKT000116,CUST0021,R001,2024-12-01,Flight Delay,Vol systématiquement en retard le matin sur cette ligne.,negative,Resolved,11,5
TKT000117,CUST0252,R006,2024-10-05,Booking Issue,Double-charged for seat selection. Please refund.,neutral,Resolved,2,5
TKT000118,CUST0293,R005,2024-11-19,Baggage,Mes bagages n'ont pas été livrés à l'arrivée.,negative,Resolved,6,1
TKT000119,CUST0277,R006,2024-12-28,Customer Service,Twitter team responded but did not resolve the issue.,negative,Resolved,8,3
TKT000120,CUST0214,R005,2024-12-12,Baggage,Mes bagages n'ont pas été livrés à l'arrivée.,negative,Resolved,14,5
TKT000121,CUST0131,R003,2025-02-01,Baggage,Lost my hand luggage during boarding. Customer service unhelpful.,negative,Open,,
TKT000122,CUST0112,R004,2024-11-15,Baggage,Bagage cabine refusé à l'embarquement sans justification.,negative,Resolved,2,4
TKT000123,CUST0166,R001,2024-11-07,Refund,Vol annulé par la compagnie mais pas de remboursement proposé.,negative,Resolved,2,5
TKT000124,CUST0088,R005,2024-11-13,Flight Delay,Vol retardé plusieurs fois sur ce mois. Inacceptable.,negative,Resolved,9,2
TKT000125,CUST0166,R001,2024-12-06,Customer Service,Phone support kept me on hold for 45 minutes.,negative,Resolved,12,5
TKT000126,CUST0272,R001,2024-11-01,Refund,Remboursement non reçu après annulation il y a 6 semaines.,negative,Resolved,6,4
TKT000127,CUST0031,R004,2025-01-17,Baggage,Baggage damaged on arrival. Wheel broken and zipper torn.,negative,Open,,
TKT000128,CUST0084,R010,2024-10-24,Customer Service,Phone support kept me on hold for 45 minutes.,negative,Resolved,10,3
TKT000129,CUST0008,R010,2024-10-11,Onboard Experience,Air conditioning was too cold. No blankets available.,neutral,Open,,
TKT000130,CUST0263,R003,2024-10-15,Flight Delay,Vol retardé plusieurs fois sur ce mois. Inacceptable.,negative,Open,,
TKT000131,CUST0024,R005,2024-10-04,Flight Delay,3-hour tarmac delay with no air conditioning.,negative,Resolved,1,3
TKT000132,CUST0272,R011,2024-10-18,Refund,Remboursement non reçu après annulation il y a 6 semaines.,negative,Resolved,1,5
TKT000133,CUST0022,R003,2024-11-13,Customer Service,Agent au sol très impoli et peu serviable.,negative,Open,,
TKT000134,CUST0093,R001,2024-11-02,Onboard Experience,Choice of vegetarian meals very limited compared to competitors.,negative,Resolved,14,1
TKT000135,CUST0034,R010,2024-12-02,Baggage,Mes bagages n'ont pas été livrés à l'arrivée.,negative,Open,,
TKT000136,CUST0085,R005,2024-12-04,Flight Delay,Mon vol a été retardé de 4 heures. Aucun repas fourni.,negative,Resolved,12,1
TKT000137,CUST0182,R010,2025-01-01,Customer Service,No response to my email sent 2 weeks ago.,negative,Resolved,13,2
TKT000138,CUST0292,R009,2024-12-16,Customer Service,Le service clientèle en ligne est inexistant.,negative,Open,,
TKT000139,CUST0187,R010,2024-11-08,Flight Delay,3-hour tarmac delay with no air conditioning.,negative,Resolved,13,1
TKT000140,CUST0156,R005,2025-01-30,Refund,"Compensation EU261 demandée pour vol retardé, sans réponse.",negative,Open,,
TKT000141,CUST0295,R006,2024-10-31,Booking Issue,Application mobile bloque à l'étape de paiement.,neutral,Resolved,12,1
TKT000142,CUST0095,R004,2024-12-27,Baggage,My suitcase arrived open and items were missing.,negative,Resolved,4,2
TKT000143,CUST0096,R001,2024-11-29,Onboard Experience,Seat recline broken. Crew ignored my request.,neutral,Resolved,13,3
TKT000144,CUST0123,R010,2024-11-24,Baggage,Bagage cabine refusé à l'embarquement sans justification.,negative,Resolved,9,4
TKT000145,CUST0284,R001,2025-01-03,Flight Delay,Flight delayed with no notification sent to passengers.,negative,Resolved,5,5
TKT000146,CUST0196,R006,2025-01-14,Customer Service,Phone support kept me on hold for 45 minutes.,negative,Open,,
TKT000147,CUST0164,R011,2025-01-29,Booking Issue,Upgrade not applied despite payment confirmation.,neutral,Open,,
TKT000148,CUST0063,R005,2025-01-30,Baggage,Frais d'excédent bagage facturés deux fois sur ma carte.,negative,Resolved,1,4
TKT000149,CUST0093,R005,2024-11-19,Refund,Vol annulé par la compagnie mais pas de remboursement proposé.,negative,Resolved,3,2
TKT000150,CUST0010,R006,2024-12-12,Refund,Remboursement non reçu après annulation il y a 6 semaines.,negative,Resolved,13,3
TKT000151,CUST0121,R002,2025-01-05,Customer Service,Twitter team responded but did not resolve the issue.,negative,Open,,
TKT000152,CUST0065,R012,2024-10-14,Baggage,Baggage damaged on arrival. Wheel broken and zipper torn.,negative,Resolved,8,5
TKT000153,CUST0255,R011,2024-10-22,Baggage,Lost my hand luggage during boarding. Customer service unhelpful.,negative,Resolved,5,4
TKT000154,CUST0100,R008,2024-10-25,Baggage,Lost my hand luggage during boarding. Customer service unhelpful.,negative,Resolved,7,5
TKT000155,CUST0273,R005,2025-01-01,Flight Delay,Aucune information donnée pendant l'attente prolongée en salle d'embarquement.,negative,Resolved,11,2
TKT000156,CUST0186,R012,2024-10-27,Onboard Experience,Choice of vegetarian meals very limited compared to competitors.,negative,Resolved,6,1
TKT000157,CUST0060,R001,2024-11-13,Booking Issue,Impossible de modifier ma réservation en ligne.,neutral,Open,,
TKT000158,CUST0146,R010,2024-11-29,Onboard Experience,Air conditioning was too cold. No blankets available.,negative,Resolved,10,1
TKT000159,CUST0106,R005,2024-10-16,Baggage,Frais d'excédent bagage facturés deux fois sur ma carte.,negative,Resolved,12,2
TKT000160,CUST0107,R010,2025-01-31,Customer Service,Promise de rappel non tenue après ma plainte initiale.,negative,Resolved,12,5
TKT000161,CUST0074,R008,2024-10-10,Refund,Requested refund 30 days ago. No update from the airline.,negative,Open,,
TKT000162,CUST0265,R005,2024-11-11,Onboard Experience,"Écran d'écran cassé, pas de divertissement disponible.",neutral,Resolved,1,5
TKT000163,CUST0056,R002,2025-01-24,Flight Delay,Flight delayed with no notification sent to passengers.,negative,Open,,
TKT000164,CUST0082,R001,2024-10-13,Customer Service,No response to my email sent 2 weeks ago.,negative,Resolved,11,5
TKT000165,CUST0244,R011,2025-01-24,Onboard Experience,Choice of vegetarian meals very limited compared to competitors.,negative,Resolved,3,3
TKT000166,CUST0208,R009,2024-11-16,Flight Delay,Missed connecting flight due to Air CI delay. Need compensation.,negative,Open,,
TKT000167,CUST0200,R005,2024-12-05,Baggage,Mes bagages n'ont pas été livrés à l'arrivée.,negative,Resolved,10,1
TKT000168,CUST0230,R007,2024-10-13,Flight Delay,Vol retardé plusieurs fois sur ce mois. Inacceptable.,negative,Resolved,12,4
TKT000169,CUST0076,R006,2024-12-04,Baggage,Lost my hand luggage during boarding. Customer service unhelpful.,negative,Resolved,12,2
TKT000170,CUST0269,R009,2024-12-15,Onboard Experience,Choice of vegetarian meals very limited compared to competitors.,negative,Resolved,5,2
TKT000171,CUST0088,R001,2025-01-09,Flight Delay,Vol retardé plusieurs fois sur ce mois. Inacceptable.,negative,Resolved,3,3
TKT000172,CUST0079,R005,2025-01-18,Flight Delay,Vol systématiquement en retard le matin sur cette ligne.,negative,Open,,
TKT000173,CUST0267,R006,2024-10-20,Onboard Experience,Air conditioning was too cold. No blankets available.,negative,Resolved,3,1
TKT000174,CUST0294,R005,2024-12-23,Flight Delay,3-hour tarmac delay with no air conditioning.,negative,Open,,
TKT000175,CUST0122,R012,2025-01-13,Refund,Requested refund 30 days ago. No update from the airline.,negative,Open,,
TKT000176,CUST0053,R005,2024-12-16,Baggage,Mes bagages n'ont pas été livrés à l'arrivée.,negative,Open,,
TKT000177,CUST0058,R011,2024-11-18,Customer Service,Twitter team responded but did not resolve the issue.,negative,Open,,
TKT000178,CUST0059,R007,2024-12-08,Onboard Experience,"Écran d'écran cassé, pas de divertissement disponible.",neutral,Resolved,1,1
TKT000179,CUST0126,R002,2024-12-21,Customer Service,Phone support kept me on hold for 45 minutes.,negative,Resolved,5,3
TKT000180,CUST0103,R012,2025-01-08,Onboard Experience,Wi-Fi à bord facturé mais inopérant pendant tout le vol.,negative,Resolved,10,3
TKT000181,CUST0153,R010,2024-12-18,Onboard Experience,Repas de très mauvaise qualité sur le vol ABJ-CDG.,negative,Resolved,13,3
TKT000182,CUST0263,R003,2024-11-26,Baggage,Frais d'excédent bagage facturés deux fois sur ma carte.,negative,Resolved,3,1
TKT000183,CUST0126,R010,2024-12-09,Baggage,My suitcase arrived open and items were missing.,negative,Open,,
TKT000184,CUST0260,R004,2024-10-04,Onboard Experience,Repas de très mauvaise qualité sur le vol ABJ-CDG.,neutral,Resolved,2,3
TKT000185,CUST0190,R010,2024-10-27,Flight Delay,Aucune information donnée pendant l'attente prolongée en salle d'embarquement.,negative,Open,,
TKT000186,CUST0133,R008,2024-10-12,Baggage,Lost my hand luggage during boarding. Customer service unhelpful.,negative,Resolved,9,1
TKT000187,CUST0015,R006,2024-12-30,Onboard Experience,Choice of vegetarian meals very limited compared to competitors.,negative,Resolved,2,1
TKT000188,CUST0284,R009,2024-11-20,Customer Service,Phone support kept me on hold for 45 minutes.,negative,Resolved,9,1
TKT000189,CUST0031,R009,2024-12-31,Onboard Experience,"Écran d'écran cassé, pas de divertissement disponible.",neutral,Resolved,3,4
TKT000190,CUST0158,R006,2025-01-29,Baggage,Mes bagages n'ont pas été livrés à l'arrivée.,negative,Open,,
TKT000191,CUST0280,R006,2024-10-12,Booking Issue,Application mobile bloque à l'étape de paiement.,neutral,Resolved,7,5
TKT000192,CUST0275,R011,2024-11-08,Customer Service,Phone support kept me on hold for 45 minutes.,negative,Resolved,5,1
TKT000193,CUST0293,R008,2025-01-04,Onboard Experience,Seat recline broken. Crew ignored my request.,neutral,Resolved,3,1
TKT000194,CUST0298,R003,2024-12-23,Flight Delay,Missed connecting flight due to Air CI delay. Need compensation.,negative,Resolved,4,2
TKT000195,CUST0099,R008,2024-11-08,Baggage,My suitcase arrived open and items were missing.,negative,Resolved,5,2
TKT000196,CUST0279,R009,2024-10-12,Onboard Experience,"Écran d'écran cassé, pas de divertissement disponible.",neutral,Resolved,6,1
TKT000197,CUST0229,R008,2024-10-08,Booking Issue,Impossible de modifier ma réservation en ligne.,negative,Resolved,1,2
TKT000198,CUST0001,R004,2024-12-06,Baggage,Lost my hand luggage during boarding. Customer service unhelpful.,negative,Resolved,3,1
TKT000199,CUST0248,R004,2024-12-07,Refund,Remboursement non reçu après annulation il y a 6 semaines.,negative,Open,,
TKT000200,CUST0125,R005,2024-10-29,Baggage,My suitcase arrived open and items were missing.,negative,Open,,
TKT000201,CUST0123,R012,2025-01-31,Baggage,Lost my hand luggage during boarding. Customer service unhelpful.,negative,Resolved,8,4
TKT000202,CUST0044,R005,2024-11-01,Onboard Experience,Repas de très mauvaise qualité sur le vol ABJ-CDG.,neutral,Open,,
TKT000203,CUST0099,R008,2024-11-26,Refund,"Compensation EU261 demandée pour vol retardé, sans réponse.",negative,Resolved,14,1
TKT000204,CUST0110,R006,2025-01-22,Flight Delay,3-hour tarmac delay with no air conditioning.,negative,Resolved,10,5
TKT000205,CUST0113,R004,2024-11-04,Onboard Experience,Repas de très mauvaise qualité sur le vol ABJ-CDG.,negative,Resolved,12,1
TKT000206,CUST0280,R007,2025-01-14,Flight Delay,Flight delayed with no notification sent to passengers.,negative,Resolved,2,4
TKT000207,CUST0203,R006,2024-12-14,Customer Service,No response to my email sent 2 weeks ago.,negative,Resolved,14,4
TKT000208,CUST0263,R010,2024-11-22,Onboard Experience,Wi-Fi à bord facturé mais inopérant pendant tout le vol.,negative,Open,,
TKT000209,CUST0032,R011,2024-11-19,Baggage,Bagage cabine refusé à l'embarquement sans justification.,negative,Resolved,5,5
TKT000210,CUST0125,R004,2024-12-26,Booking Issue,Upgrade not applied despite payment confirmation.,negative,Open,,
TKT000211,CUST0192,R005,2025-01-03,Flight Delay,Missed connecting flight due to Air CI delay. Need compensation.,negative,Open,,
TKT000212,CUST0246,R005,2024-10-25,Baggage,Lost my hand luggage during boarding. Customer service unhelpful.,negative,Resolved,3,2
TKT000213,CUST0177,R005,2024-11-10,Customer Service,Agent au sol très impoli et peu serviable.,negative,Resolved,5,2
TKT000214,CUST0292,R009,2025-01-01,Refund,Vol annulé par la compagnie mais pas de remboursement proposé.,negative,Resolved,11,2
TKT000215,CUST0131,R002,2024-12-11,Customer Service,Promise de rappel non tenue après ma plainte initiale.,negative,Resolved,10,5
TKT000216,CUST0145,R002,2024-12-24,Refund,Voucher reçu au lieu du remboursement promis.,negative,Open,,
TKT000217,CUST0025,R005,2024-12-30,Booking Issue,Impossible de modifier ma réservation en ligne.,neutral,Resolved,4,5
TKT000218,CUST0113,R005,2024-12-01,Flight Delay,Flight delayed with no notification sent to passengers.,negative,Resolved,3,3
TKT000219,CUST0291,R008,2024-11-04,Flight Delay,Flight delayed with no notification sent to passengers.,negative,Resolved,4,1
TKT000220,CUST0070,R009,2025-01-20,Flight Delay,Mon vol a été retardé de 4 heures. Aucun repas fourni.,negative,Resolved,8,4
TKT000221,CUST0042,R001,2025-01-22,Onboard Experience,Air conditioning was too cold. No blankets available.,negative,Resolved,12,5
TKT000222,CUST0041,R008,2024-12-18,Customer Service,Le service clientèle en ligne est inexistant.,negative,Resolved,12,3
TKT000223,CUST0253,R009,2024-10-29,Onboard Experience,Choice of vegetarian meals very limited compared to competitors.,negative,Resolved,4,3
TKT000224,CUST0143,R006,2024-11-22,Onboard Experience,Air conditioning was too cold. No blankets available.,negative,Resolved,10,1
TKT000225,CUST0093,R005,2024-10-26,Onboard Experience,Seat recline broken. Crew ignored my request.,neutral,Resolved,6,5
