review_id,flight_id,route_id,review_date,nps_score,sentiment,review_text,language,source
REV000021,FLT00007,R005,2025-01-01,8,neutral,Embarquement un peu long mais le vol s'est bien déroulé ensuite.,fr,TripAdvisor
REV000022,FLT00008,R006,2025-01-01,8,positive,"Embarquement fluide, équipage souriant, vol parfait du début à la fin.",fr,TripAdvisor
REV000023,FLT00008,R006,2025-01-01,5,negative,"Repas immangeable, je n'ai pas pu finir mon plateau.",fr,Email Survey
REV000024,FLT00009,R006,2025-01-01,8,positive,Excellente compagnie. Les hôtesses étaient attentionnées et le pilote très rassurant.,fr,TripAdvisor
REV000025,FLT00009,R006,2025-01-01,2,negative,"Comparé à Ethiopian ou Air France, le niveau de service n'y est pas.",fr,App
REV000026,FLT00010,R007,2025-01-01,8,positive,"Surclassement gratuit en Business, expérience inoubliable. Merci ACI !",fr,App
REV000027,FLT00010,R007,2025-01-01,10,positive,"Le nouveau A330 est superbe, sièges confortables même en éco.",fr,App
REV000028,FLT00010,R007,2025-01-01,8,positive,"Voyage en famille parfaitement géré, attention particulière aux enfants.",fr,App
REV000029,FLT00011,R008,2025-01-01,8,neutral,Climatisation un peu froide mais des couvertures étaient disponibles.,fr,Web
REV000030,FLT00012,R009,2025-01-01,9,positive,"Surclassement gratuit en Business, expérience inoubliable. Merci ACI !",fr,Web
REV000031,FLT00012,R009,2025-01-01,9,positive,"Clean aircraft, friendly staff. Will definitely book again.",en,Web
REV000032,FLT00012,R009,2025-01-01,8,positive,Surprised by the quality on this regional flight. Pleasant experience overall.,en,Web
REV000033,FLT00012,R009,2025-01-01,10,positive,Crew handled a minor turbulence event calmly and professionally. Reassuring.,en,Email Survey
REV000034,FLT00013,R009,2025-01-01,4,negative,Cabin was overheated for the entire flight. No working AC.,en,Email Survey
REV000035,FLT00014,R010,2025-01-01,8,neutral,"Le check-in en ligne fonctionne bien, l'embarquement aussi.",fr,TripAdvisor
REV000036,FLT00014,R010,2025-01-01,10,positive,Surprised by the quality on this regional flight. Pleasant experience overall.,en,App
REV000037,FLT00014,R010,2025-01-01,4,negative,Frequent flyer points still not credited after multiple complaints.,en,TripAdvisor
REV000038,FLT00015,R011,2025-01-01,10,positive,On-time departure and smooth landing. Great value for money on this route.,en,Web
REV000039,FLT00015,R011,2025-01-01,5,negative,Réclamation pour bagage abîmé ignorée depuis 3 semaines.,fr,App
REV000040,FLT00016,R012,2025-01-01,6,neutral,"Le check-in en ligne fonctionne bien, l'embarquement aussi.",fr,App
REV000041,FLT00016,R012,2025-01-01,7,neutral,"Le check-in en ligne fonctionne bien, l'embarquement aussi.",fr,TripAdvisor
REV000042,FLT00016,R012,2025-01-01,8,positive,Le rapport qualité-prix sur cette destination est imbattable. Continuez ainsi.,fr,Email Survey
REV000043,FLT00016,R012,2025-01-01,10,positive,"Vol matinal très ponctuel, idéal pour les voyages d'affaires.",fr,App
REV000044,FLT00016,R012,2025-01-01,2,negative,Vol annulé et rebooking chaotique. Communication désastreuse.,fr,Web
REV000045,FLT00016,R012,2025-01-01,6,neutral,Standard regional service. Aircraft was clean enough.,en,TripAdvisor
REV000046,FLT00017,R001,2025-01-02,10,positive,"Voyage en famille parfaitement géré, attention particulière aux enfants.",fr,TripAdvisor
REV000047,FLT00017,R001,2025-01-02,6,neutral,Climatisation un peu froide mais des couvertures étaient disponibles.,fr,App
REV000048,FLT00017,R001,2025-01-02,10,positive,Booked through the app and everything worked seamlessly.,en,TripAdvisor
REV000049,FLT00017,R001,2025-01-02,8,neutral,Decent flight overall. The check-in process was a little slow.,en,Email Survey
REV000050,FLT00017,R001,2025-01-02,8,positive,"Service impeccable, départ à l'heure. Bravo à l'équipage d'Air Côte d'Ivoire.",fr,Web
REV000051,FLT00017,R001,2025-01-02,2,negative,Inflight Wi-Fi did not work despite being charged for it. Recurring issue: systematic morning delays on the Bouaké rotation.,en,Web
REV000052,FLT00018,R002,2025-01-02,8,positive,"Repas africain délicieux à bord, vraie touche locale appréciable.",fr,Email Survey
REV000053,FLT00018,R002,2025-01-02,4,negative,Crew was rude when I asked about my missed connection.,en,Email Survey
REV000054,FLT00018,R002,2025-01-02,6,neutral,Départ légèrement en retard mais arrivée à l'heure. Acceptable.,fr,TripAdvisor
REV000055,FLT00018,R002,2025-01-02,4,negative,Vol annulé et rebooking chaotique. Communication désastreuse.,fr,Web
REV000056,FLT00019,R003,2025-01-02,10,positive,Excellente compagnie. Les hôtesses étaient attentionnées et le pilote très rassurant.,fr,Email Survey
REV000057,FLT00019,R003,2025-01-02,5,neutral,Boarding took longer than expected but the flight itself was fine.,en,Web
REV000058,FLT00020,R004,2025-01-02,10,positive,Business cabin on the A330 is excellent value compared to competitors.,en,TripAdvisor
REV000059,FLT00020,R004,2025-01-02,9,positive,Booked through the app and everything worked seamlessly.,en,TripAdvisor
REV000060,FLT00020,R004,2025-01-02,6,neutral,Repas basique mais consommable. Le siège était convenable.,fr,Email Survey
REV000061,FLT00020,R004,2025-01-02,8,positive,"Great connection between ABJ and CDG, comparable to European carriers.",en,TripAdvisor
REV000062,FLT00020,R004,2025-01-02,6,neutral,"Vol correct, rien d'exceptionnel. Le service est moyen.",fr,TripAdvisor
REV000063,FLT00021,R004,2025-01-02,9,positive,"Le nouveau A330 est superbe, sièges confortables même en éco.",fr,TripAdvisor
REV000064,FLT00021,R004,2025-01-02,9,positive,Excellente compagnie. Les hôtesses étaient attentionnées et le pilote très rassurant.,fr,Email Survey
REV000065,FLT00021,R004,2025-01-02,8,positive,The cabin crew was outstanding. Very attentive and professional.,en,Web
REV000066,FLT00022,R005,2025-01-02,0,negative,Cabin was overheated for the entire flight. No working AC. Recurring issue: baggage frequently mishandled on the Dakar line.,en,Email Survey
REV000067,FLT00022,R005,2025-01-02,3,negative,Aucune assistance pour ma correspondance ratée à cause du retard. Problème récurrent : bagages fréquemment perdus sur la liaison Dakar.,fr,Email Survey
REV000068,FLT00022,R005,2025-01-02,1,negative,Aucune assistance pour ma correspondance ratée à cause du retard.,fr,Web
REV000069,FLT00022,R005,2025-01-02,0,negative,Frequent flyer points still not credited after multiple complaints.,en,Email Survey
REV000070,FLT00022,R005,2025-01-02,3,negative,Réclamation pour bagage abîmé ignorée depuis 3 semaines.,fr,App
REV000071,FLT00023,R005,2025-01-02,8,positive,"Service impeccable, départ à l'heure. Bravo à l'équipage d'Air Côte d'Ivoire.",fr,Web
REV000072,FLT00024,R006,2025-01-02,10,positive,"Vol agréable, divertissement à bord varié. On se sent vraiment bien traité.",fr,Email Survey
REV000073,FLT00024,R006,2025-01-02,9,positive,Excellente compagnie. Les hôtesses étaient attentionnées et le pilote très rassurant.,fr,Email Survey
REV000074,FLT00024,R006,2025-01-02,10,positive,Premium economy seat was worth every dollar on the long-haul.,en,App
REV000075,FLT00024,R006,2025-01-02,5,negative,"Cancelled with only 2 hours notice. No rebooking offered, no hotel.",en,TripAdvisor
REV000076,FLT00024,R006,2025-01-02,8,positive,"Service impeccable, départ à l'heure. Bravo à l'équipage d'Air Côte d'Ivoire.",fr,TripAdvisor
REV000077,FLT00025,R006,2025-01-02,8,positive,Business cabin on the A330 is excellent value compared to competitors.,en,TripAdvisor
REV000078,FLT00025,R006,2025-01-02,6,neutral,"Vol sans surprise, ni bonne ni mauvaise. Je referai si nécessaire.",fr,TripAdvisor
REV000079,FLT00025,R006,2025-01-02,7,neutral,Food could be better. Flight was on time though.,en,App
REV000080,FLT00025,R006,2025-01-02,6,neutral,"Vol sans surprise, ni bonne ni mauvaise. Je referai si nécessaire.",fr,App
REV000081,FLT00025,R006,2025-01-02,8,neutral,Départ légèrement en retard mais arrivée à l'heure. Acceptable.,fr,App
REV000082,FLT00025,R006,2025-01-02,10,positive,On-time departure and smooth landing. Great value for money on this route.,en,Email Survey
REV000083,FLT00026,R007,2025-01-02,9,positive,Surprised by the quality on this regional flight. Pleasant experience overall.,en,App
REV000084,FLT00026,R007,2025-01-02,6,neutral,Départ légèrement en retard mais arrivée à l'heure. Acceptable.,fr,Web
REV000085,FLT00026,R007,2025-01-02,8,positive,Loved the African hospitality on board. Felt welcomed throughout.,en,Web
REV000086,FLT00026,R007,2025-01-02,9,positive,"Voyage en famille parfaitement géré, attention particulière aux enfants.",fr,App
REV000087,FLT00026,R007,2025-01-02,10,positive,"Le nouveau A330 est superbe, sièges confortables même en éco.",fr,Web
REV000088,FLT00027,R008,2025-01-02,9,positive,"Vol matinal très ponctuel, idéal pour les voyages d'affaires.",fr,Web
REV000089,FLT00027,R008,2025-01-02,4,negative,"Repas immangeable, je n'ai pas pu finir mon plateau. Problème récurrent : annulations répétées sur la ligne Ouagadougou.",fr,Email Survey
REV000090,FLT00027,R008,2025-01-02,5,neutral,Decent flight overall. The check-in process was a little slow.,en,App
REV000091,FLT00027,R008,2025-01-02,8,positive,"Très bon vol, siège confortable et repas savoureux. Recommandé sans hésiter.",fr,Email Survey
REV000092,FLT00027,R008,2025-01-02,10,positive,"Repas africain délicieux à bord, vraie touche locale appréciable.",fr,TripAdvisor
REV000093,FLT00027,R008,2025-01-02,9,positive,"Voyage en famille parfaitement géré, attention particulière aux enfants.",fr,Email Survey
REV000094,FLT00028,R009,2025-01-02,5,negative,Aucune assistance pour ma correspondance ratée à cause du retard. Problème récurrent : retards liés aux créneaux horaires à Paris CDG.,fr,Email Survey
REV000095,FLT00028,R009,2025-01-02,6,neutral,Service standard pour le prix payé. Pas de quoi se plaindre.,fr,Email Survey
REV000096,FLT00028,R009,2025-01-02,9,positive,"Vol agréable, divertissement à bord varié. On se sent vraiment bien traité.",fr,App
REV000097,FLT00028,R009,2025-01-02,9,positive,On-time departure and smooth landing. Great value for money on this route.,en,App
REV000098,FLT00029,R009,2025-01-02,10,positive,"Service impeccable, départ à l'heure. Bravo à l'équipage d'Air Côte d'Ivoire.",fr,Web
REV000099,FLT00029,R009,2025-01-02,6,neutral,Decent flight overall. The check-in process was a little slow.,en,Web
REV000100,FLT00029,R009,2025-01-02,8,positive,"Vol agréable, divertissement à bord varié. On se sent vraiment bien traité.",fr,App
REV000101,FLT00029,R009,2025-01-02,10,positive,Booked through the app and everything worked seamlessly.,en,Web
REV000102,FLT00029,R009,2025-01-02,5,neutral,"Le check-in en ligne fonctionne bien, l'embarquement aussi.",fr,Web
REV000103,FLT00029,R009,2025-01-02,6,negative,"Cancelled with only 2 hours notice. No rebooking offered, no hotel.",en,App
REV000104,FLT00030,R010,2025-01-02,6,neutral,Service standard pour le prix payé. Pas de quoi se plaindre.,fr,TripAdvisor
REV000105,FLT00030,R010,2025-01-02,8,positive,"Voyage en famille parfaitement géré, attention particulière aux enfants.",fr,Email Survey
REV000106,FLT00031,R011,2025-01-02,10,positive,Excellente compagnie. Les hôtesses étaient attentionnées et le pilote très rassurant.,fr,App
REV000107,FLT00031,R011,2025-01-02,7,neutral,Decent flight overall. The check-in process was a little slow.,en,TripAdvisor
REV000108,FLT00031,R011,2025-01-02,9,positive,"Great connection between ABJ and CDG, comparable to European carriers.",en,Web
REV000109,FLT00031,R011,2025-01-02,10,positive,"Embarquement fluide, équipage souriant, vol parfait du début à la fin.",fr,Web
REV000110,FLT00031,R011,2025-01-02,9,positive,Crew handled a minor turbulence event calmly and professionally. Reassuring.,en,Web
REV000111,FLT00031,R011,2025-01-02,5,neutral,Decent flight overall. The check-in process was a little slow.,en,App
REV000112,FLT00032,R012,2025-01-02,9,positive,"Personnel chaleureux, accueil africain authentique. Je recommande à 100%.",fr,TripAdvisor
REV000113,FLT00032,R012,2025-01-02,9,positive,Premium economy seat was worth every dollar on the long-haul.,en,Email Survey
REV000114,FLT00033,R001,2025-01-03,5,neutral,"Vol sans surprise, ni bonne ni mauvaise. Je referai si nécessaire.",fr,App
REV000115,FLT00033,R001,2025-01-03,2,negative,Cabin was overheated for the entire flight. No working AC. Recurring issue: systematic morning delays on the Bouaké rotation.,en,Web
REV000116,FLT00033,R001,2025-01-03,5,neutral,Climatisation un peu froide mais des couvertures étaient disponibles.,fr,TripAdvisor
REV000117,FLT00033,R001,2025-01-03,6,neutral,Food could be better. Flight was on time though.,en,App
REV000118,FLT00034,R002,2025-01-03,8,positive,Crew handled a minor turbulence event calmly and professionally. Reassuring.,en,TripAdvisor
REV000119,FLT00034,R002,2025-01-03,8,positive,"Surclassement gratuit en Business, expérience inoubliable. Merci ACI !",fr,Email Survey
REV000120,FLT00034,R002,2025-01-03,2,negative,"Cancelled with only 2 hours notice. No rebooking offered, no hotel. Recurring issue: uncomfortable ATR seat for this flight length.",en,Web
REV000121,FLT00035,R003,2025-01-03,8,neutral,Repas basique mais consommable. Le siège était convenable.,fr,Web
REV000122,FLT00035,R003,2025-01-03,6,negative,Flight delayed 3 hours. No communication from staff. Very frustrated.,en,TripAdvisor
REV000123,FLT00035,R003,2025-01-03,5,neutral,Boarding took longer than expected but the flight itself was fine.,en,App
REV000124,FLT00036,R004,2025-01-03,8,positive,"Vol excellent, équipage très professionnel. Je reviendrai certainement.",fr,Web
REV000125,FLT00036,R004,2025-01-03,9,positive,Excellent flight from check-in to landing. Staff were very helpful and friendly.,en,App
REV000126,FLT00036,R004,2025-01-03,10,positive,"Personnel chaleureux, accueil africain authentique. Je recommande à 100%.",fr,Email Survey
REV000127,FLT00036,R004,2025-01-03,2,negative,Vol annulé et rebooking chaotique. Communication désastreuse.,fr,Web
REV000128,FLT00036,R004,2025-01-03,9,positive,"Surclassement gratuit en Business, expérience inoubliable. Merci ACI !",fr,TripAdvisor
REV000129,FLT00037,R004,2025-01-03,9,positive,"Voyage en famille parfaitement géré, attention particulière aux enfants.",fr,TripAdvisor
REV000130,FLT00037,R004,2025-01-03,9,positive,"Vol excellent, équipage très professionnel. Je reviendrai certainement.",fr,Web
REV000131,FLT00038,R005,2025-01-03,8,positive,"Très bon vol, siège confortable et repas savoureux. Recommandé sans hésiter.",fr,TripAdvisor
REV000132,FLT00038,R005,2025-01-03,8,positive,"Très bon vol, siège confortable et repas savoureux. Recommandé sans hésiter.",fr,Email Survey
REV000133,FLT00038,R005,2025-01-03,4,negative,Lost my baggage and still waiting for it. Unacceptable service. Recurring issue: baggage frequently mishandled on the Dakar line.,en,TripAdvisor
REV000134,FLT00038,R005,2025-01-03,7,neutral,Entertainment options limited on this aircraft type. Otherwise acceptable.,en,TripAdvisor
REV000135,FLT00038,R005,2025-01-03,2,negative,Vol annulé et rebooking chaotique. Communication désastreuse. Problème récurrent : bagages fréquemment perdus sur la liaison Dakar.,fr,App
REV000136,FLT00038,R005,2025-01-03,10,positive,Surprised by the quality on this regional flight. Pleasant experience overall.,en,TripAdvisor
REV000137,FLT00039,R005,2025-01-03,9,positive,"Smooth flight, great food options. The lounge access in Abidjan was a nice touch.",en,TripAdvisor
REV000138,FLT00039,R005,2025-01-03,10,positive,"Très bon vol, siège confortable et repas savoureux. Recommandé sans hésiter.",fr,Email Survey
REV000139,FLT00039,R005,2025-01-03,7,neutral,Repas basique mais consommable. Le siège était convenable.,fr,TripAdvisor
REV000140,FLT00039,R005,2025-01-03,5,neutral,"Le check-in en ligne fonctionne bien, l'embarquement aussi.",fr,Email Survey
REV000141,FLT00039,R005,2025-01-03,3,negative,"Siège cassé, repas servi froid, service lent. Billet trop cher pour cette qualité. Problème récurrent : bagages fréquemment perdus sur la liaison Dakar.",fr,TripAdvisor
REV000142,FLT00040,R006,2025-01-03,8,positive,"Vol agréable, divertissement à bord varié. On se sent vraiment bien traité.",fr,App
REV000143,FLT00041,R006,2025-01-03,0,negative,"Wi-Fi annoncé mais inopérant pendant tout le vol. Décevant. Problème récurrent : encombrement chronique à Lagos, créneaux non respectés.",fr,Web
REV000144,FLT00041,R006,2025-01-03,1,negative,"The aircraft was dirty. Seat wouldn't recline. Disappointed. Recurring issue: Lagos congestion, schedule slots routinely missed.",en,TripAdvisor
REV000145,FLT00041,R006,2025-01-03,3,negative,"Réclamation pour bagage abîmé ignorée depuis 3 semaines. Problème récurrent : encombrement chronique à Lagos, créneaux non respectés.",fr,App
REV000146,FLT00041,R006,2025-01-03,2,negative,"Embarquement chaotique, file d'attente interminable au comptoir.",fr,Email Survey
REV000147,FLT00041,R006,2025-01-03,0,negative,"Vol annulé et rebooking chaotique. Communication désastreuse. Problème récurrent : encombrement chronique à Lagos, créneaux non respectés.",fr,App
REV000148,FLT00042,R007,2025-01-03,9,positive,"Smooth flight, great food options. The lounge access in Abidjan was a nice touch.",en,App
REV000149,FLT00042,R007,2025-01-03,9,positive,"Surclassement gratuit en Business, expérience inoubliable. Merci ACI !",fr,Web
REV000150,FLT00042,R007,2025-01-03,8,positive,"Voyage en famille parfaitement géré, attention particulière aux enfants.",fr,Email Survey
REV000151,FLT00042,R007,2025-01-03,7,neutral,Climatisation un peu froide mais des couvertures étaient disponibles.,fr,Web
REV000152,FLT00042,R007,2025-01-03,10,positive,"Vol agréable, divertissement à bord varié. On se sent vraiment bien traité.",fr,App
REV000153,FLT00042,R007,2025-01-03,10,positive,Business cabin on the A330 is excellent value compared to competitors.,en,App
REV000154,FLT00043,R008,2025-01-03,3,negative,"Siège cassé, repas servi froid, service lent. Billet trop cher pour cette qualité.",fr,App
REV000155,FLT00044,R009,2025-01-03,7,neutral,Lounge in CDG was crowded but the flight crew was helpful.,en,Email Survey
REV000156,FLT00045,R009,2025-01-03,8,positive,Crew handled a minor turbulence event calmly and professionally. Reassuring.,en,Web
REV000157,FLT00045,R009,2025-01-03,7,neutral,Boarding took longer than expected but the flight itself was fine.,en,TripAdvisor
REV000158,FLT00045,R009,2025-01-03,9,positive,On-time departure and smooth landing. Great value for money on this route.,en,TripAdvisor
REV000159,FLT00045,R009,2025-01-03,6,negative,Mes points fidélité n'ont pas été crédités après ce vol. Service après-vente injoignable. Problème récurrent : retards liés aux créneaux horaires à Paris CDG.,fr,Web
REV000160,FLT00045,R009,2025-01-03,8,positive,Business cabin on the A330 is excellent value compared to competitors.,en,App
REV000161,FLT00046,R010,2025-01-03,8,neutral,"Le check-in en ligne fonctionne bien, l'embarquement aussi.",fr,App
REV000162,FLT00046,R010,2025-01-03,8,neutral,"Le check-in en ligne fonctionne bien, l'embarquement aussi.",fr,TripAdvisor
REV000163,FLT00046,R010,2025-01-03,8,positive,"Vol excellent, équipage très professionnel. Je reviendrai certainement.",fr,Email Survey
REV000164,FLT00046,R010,2025-01-03,5,neutral,"Le check-in en ligne fonctionne bien, l'embarquement aussi.",fr,TripAdvisor
REV000165,FLT00046,R010,2025-01-03,7,neutral,Embarquement un peu long mais le vol s'est bien déroulé ensuite.,fr,Email Survey
REV000166,FLT00046,R010,2025-01-03,8,positive,"Très bon vol, siège confortable et repas savoureux. Recommandé sans hésiter.",fr,Email Survey
REV000167,FLT00047,R011,2025-01-03,10,positive,"Très bon vol, siège confortable et repas savoureux. Recommandé sans hésiter.",fr,Web
REV000168,FLT00048,R012,2025-01-03,6,neutral,Repas basique mais consommable. Le siège était convenable.,fr,App
REV000169,FLT00048,R012,2025-01-03,10,positive,"Surclassement gratuit en Business, expérience inoubliable. Merci ACI !",fr,Web
REV000170,FLT00049,R001,2025-01-04,4,negative,Cabin was overheated for the entire flight. No working AC. Recurring issue: systematic morning delays on the Bouaké rotation.,en,Web
REV000171,FLT00050,R002,2025-01-04,5,neutral,Boarding took longer than expected but the flight itself was fine.,en,Email Survey
REV000172,FLT00050,R002,2025-01-04,9,positive,Excellent flight from check-in to landing. Staff were very helpful and friendly.,en,App
REV000173,FLT00050,R002,2025-01-04,7,neutral,Decent flight overall. The check-in process was a little slow.,en,TripAdvisor
REV000174,FLT00051,R003,2025-01-04,10,positive,"Le nouveau A330 est superbe, sièges confortables même en éco.",fr,TripAdvisor
REV000175,FLT00051,R003,2025-01-04,10,positive,"Vol agréable, divertissement à bord varié. On se sent vraiment bien traité.",fr,Web
REV000176,FLT00052,R004,2025-01-04,8,positive,"Great connection between ABJ and CDG, comparable to European carriers.",en,Email Survey
REV000177,FLT00052,R004,2025-01-04,10,positive,"Great connection between ABJ and CDG, comparable to European carriers.",en,Email Survey
REV000178,FLT00053,R004,2025-01-04,8,positive,"Vol agréable, divertissement à bord varié. On se sent vraiment bien traité.",fr,Email Survey
REV000179,FLT00053,R004,2025-01-04,8,positive,Le rapport qualité-prix sur cette destination est imbattable. Continuez ainsi.,fr,TripAdvisor
REV000180,FLT00053,R004,2025-01-04,10,positive,"Le nouveau A330 est superbe, sièges confortables même en éco.",fr,App
REV000181,FLT00053,R004,2025-01-04,8,positive,On-time departure and smooth landing. Great value for money on this route.,en,App
REV000182,FLT00053,R004,2025-01-04,5,neutral,Food could be better. Flight was on time though.,en,Email Survey
REV000183,FLT00053,R004,2025-01-04,10,positive,Business cabin on the A330 is excellent value compared to competitors.,en,App
REV000184,FLT00054,R005,2025-01-04,10,positive,Surprised by the quality on this regional flight. Pleasant experience overall.,en,App
REV000185,FLT00055,R005,2025-01-04,8,neutral,"Avion propre, équipage poli sans plus. Vol sans incident.",fr,Web
REV000186,FLT00055,R005,2025-01-04,8,positive,"Personnel chaleureux, accueil africain authentique. Je recommande à 100%.",fr,Web
REV000187,FLT00056,R006,2025-01-04,8,positive,"Service impeccable, départ à l'heure. Bravo à l'équipage d'Air Côte d'Ivoire.",fr,Web
REV000188,FLT00056,R006,2025-01-04,5,negative,"Vol annulé et rebooking chaotique. Communication désastreuse. Problème récurrent : encombrement chronique à Lagos, créneaux non respectés.",fr,Email Survey
REV000189,FLT00056,R006,2025-01-04,8,positive,"Surclassement gratuit en Business, expérience inoubliable. Merci ACI !",fr,Web
REV000190,FLT00056,R006,2025-01-04,5,negative,Réclamation pour bagage abîmé ignorée depuis 3 semaines.,fr,App
REV000191,FLT00056,R006,2025-01-04,3,negative,Bagages perdus et aucune aide de l'équipe au sol. Très déçu.,fr,Web
REV000192,FLT00056,R006,2025-01-04,5,neutral,Service standard pour le prix payé. Pas de quoi se plaindre.,fr,App
REV000193,FLT00057,R006,2025-01-04,10,positive,Surprised by the quality on this regional flight. Pleasant experience overall.,en,Email Survey
REV000194,FLT00058,R007,2025-01-04,4,negative,"Repas immangeable, je n'ai pas pu finir mon plateau.",fr,Web
REV000195,FLT00058,R007,2025-01-04,9,positive,Premium economy seat was worth every dollar on the long-haul.,en,Web
REV000196,FLT00058,R007,2025-01-04,5,neutral,The flight was okay. Nothing special but nothing bad either.,en,Email Survey
REV000197,FLT00058,R007,2025-01-04,8,positive,Crew handled a minor turbulence event calmly and professionally. Reassuring.,en,TripAdvisor
REV000198,FLT00058,R007,2025-01-04,8,neutral,Seat was a bit cramped but the crew was friendly. Average experience.,en,App
REV000199,FLT00058,R007,2025-01-04,4,negative,Vol annulé et rebooking chaotique. Communication désastreuse. Problème récurrent : turbulences fréquentes et service perturbé.,fr,Email Survey
REV000200,FLT00059,R008,2025-01-04,9,positive,Crew handled a minor turbulence event calmly and professionally. Reassuring.,en,TripAdvisor
REV000201,FLT00059,R008,2025-01-04,10,positive,Surprised by the quality on this regional flight. Pleasant experience overall.,en,Email Survey
REV000202,FLT00060,R009,2025-01-04,10,positive,"Great connection between ABJ and CDG, comparable to European carriers.",en,TripAdvisor
REV000203,FLT00060,R009,2025-01-04,8,neutral,Départ légèrement en retard mais arrivée à l'heure. Acceptable.,fr,TripAdvisor
REV000204,FLT00060,R009,2025-01-04,6,neutral,Départ légèrement en retard mais arrivée à l'heure. Acceptable.,fr,Email Survey
REV000205,FLT00060,R009,2025-01-04,8,positive,"Surclassement gratuit en Business, expérience inoubliable. Merci ACI !",fr,TripAdvisor
REV000206,FLT00060,R009,2025-01-04,2,negative,Crew was rude when I asked about my missed connection. Recurring issue: Paris CDG slot delays affecting connections.,en,Email Survey
REV000207,FLT00060,R009,2025-01-04,10,positive,"Vol agréable, divertissement à bord varié. On se sent vraiment bien traité.",fr,Email Survey
REV000208,FLT00061,R009,2025-01-04,8,positive,On-time departure and smooth landing. Great value for money on this route.,en,Email Survey
REV000209,FLT00061,R009,2025-01-04,9,positive,"Surclassement gratuit en Business, expérience inoubliable. Merci ACI !",fr,App
REV000210,FLT00062,R010,2025-01-04,8,neutral,Climatisation un peu froide mais des couvertures étaient disponibles.,fr,Email Survey
REV000211,FLT00062,R010,2025-01-04,8,positive,"Embarquement fluide, équipage souriant, vol parfait du début à la fin.",fr,App
REV000212,FLT00062,R010,2025-01-04,8,neutral,"Avion propre, équipage poli sans plus. Vol sans incident.",fr,Email Survey
REV000213,FLT00062,R010,2025-01-04,10,positive,"Vol matinal très ponctuel, idéal pour les voyages d'affaires.",fr,Web
REV000214,FLT00062,R010,2025-01-04,8,neutral,"Vol correct, rien d'exceptionnel. Le service est moyen.",fr,Web
REV000215,FLT00062,R010,2025-01-04,10,positive,"Vol excellent, équipage très professionnel. Je reviendrai certainement.",fr,Email Survey
REV000216,FLT00063,R011,2025-01-04,9,positive,"Voyage en famille parfaitement géré, attention particulière aux enfants.",fr,TripAdvisor
REV000217,FLT00063,R011,2025-01-04,7,neutral,Repas basique mais consommable. Le siège était convenable.,fr,TripAdvisor
REV000218,FLT00063,R011,2025-01-04,8,positive,Loved the African hospitality on board. Felt welcomed throughout.,en,TripAdvisor
REV000219,FLT00063,R011,2025-01-04,8,positive,Crew handled a minor turbulence event calmly and professionally. Reassuring.,en,App
REV000220,FLT00063,R011,2025-01-04,10,positive,"Personnel chaleureux, accueil africain authentique. Je recommande à 100%.",fr,App
